BeachId,Region,Council,Site,Longitude,Latitude,Date,Enterococci (cfu/100ml)
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,14/04/2021,75
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,12/03/2021,16
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,31/03/2021,220
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,08/04/2021,150
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,08/04/2021,120
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,20/04/2021,4
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,31/03/2021,35
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,24/03/2021,190
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,14/04/2021,22
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,19/03/2021,5000
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,18/02/2021,4
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,08/02/2021,1
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,25/02/2021,72
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,29/12/2021,450
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,18/01/2021,0
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,27/01/2021,0
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,09/12/2021,240
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,15/12/2021,0
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,08/03/2021,1
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,12/03/2021,5
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,02/03/2021,13
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,02/02/2021,220
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,12/02/2021,4
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,14/01/2021,140
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,22/12/2021,4
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,16/11/2021,6
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,22/11/2021,140
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,04/11/2021,6
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,03/12/2021,9
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,29/10/2021,10
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,26/11/2021,6700
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,14/10/2021,95
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,20/10/2021,3
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,26/10/2021,3
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,08/10/2021,7
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,25/08/2021,38
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,09/06/2021,20
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,10/11/2021,9
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,13/07/2021,33
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,26/04/2021,5
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,13/05/2021,22
88,Sydney Harbour,Garigal National Park,Davidson Reserve,151.200314,-33.768008,23/09/2021,0
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,08/10/2021,45
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,26/10/2021,4
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,29/10/2021,23
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,26/11/2021,82
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,26/08/2021,88
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,14/10/2021,34
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,13/07/2021,3
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,04/11/2021,3
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,10/11/2021,8
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,13/05/2021,2
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,09/06/2021,8
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,20/09/2021,42
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,16/11/2021,0
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,22/11/2021,22
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,26/04/2021,11
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,20/10/2021,4
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,15/12/2021,3
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,03/12/2021,5
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,29/12/2021,10
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,02/02/2021,96
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,22/12/2021,7
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,18/01/2021,1
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,09/12/2021,16
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,14/01/2021,15
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,27/01/2021,26
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,08/02/2021,5
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,25/02/2021,150
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,19/03/2021,3400
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,12/02/2021,
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,24/03/2021,340
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,08/03/2021,3
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,12/03/2021,7
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,18/02/2021,170
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,02/03/2021,2
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,14/04/2021,5
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,08/04/2021,57
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,20/04/2021,5
82,Sydney Harbour,Hunters Hill Municipal Council,Woolwich Baths,151.169399,-33.838906,31/03/2021,8
